Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
126,Bobby De Cordova-Reid,jm JAM,FW,Leicester City,32-098,1993,8.3,9,4,3,6,0,4,14,28.6,10,6,1,5,0,9,10,0,Matches
127,Liam Delap,eng ENG,FW,Ipswich Town,22-092,2003,28.4,11,8,3,3,5,2,14,14.3,12,8,0,8,2,13,28,0,Matches
128,Sepp van den Berg,nl NED,DF,Brentford,23-142,2001,26.7,37,22,23,10,4,18,27,66.7,9,51,37,14,20,57,124,3,Matches
129,Justin Devenny,nir NIR,MF,Crystal Palace,21-212,2003,4.8,14,9,6,7,1,7,14,50.0,7,3,0,3,0,14,10,0,Matches
130,Kiernan Dewsbury-Hall,eng ENG,"MF,FW",Chelsea,26-247,1998,2.9,8,5,1,1,6,4,6,66.7,2,2,0,2,1,9,8,1,Matches
131,Amad Diallo,ci CIV,"FW,MF",Manchester Utd,22-304,2002,18.2,35,28,7,19,9,17,28,60.7,11,11,0,11,11,46,16,0,Matches
132,Rúben Dias,pt POR,DF,Manchester City,27-362,1997,23.2,16,10,6,9,1,7,11,63.6,4,19,16,3,18,34,61,3,Matches
133,Luis Díaz,co COL,FW,Liverpool,28-118,1997,24.7,33,21,10,17,6,13,34,38.2,21,18,0,18,7,40,7,1,Matches
134,Tyler Dibling,eng ENG,"FW,MF",Southampton,19-060,2006,20.1,34,20,13,18,3,16,26,61.5,10,19,5,14,8,42,16,1,Matches
135,Lucas Digne,fr FRA,DF,Aston Villa,31-295,1993,26.1,65,38,40,16,9,44,66,66.7,22,23,4,19,25,90,89,1,Matches
136,Issa Diop,fr FRA,DF,Fulham,28-122,1997,14.9,26,12,18,8,0,13,18,72.2,5,10,7,3,9,35,72,2,Matches
137,Axel Disasi,fr FRA,DF,Aston Villa,27-061,1998,5.4,8,5,7,1,0,3,7,42.9,4,4,1,3,5,13,18,0,Matches
138,Axel Disasi,fr FRA,DF,Chelsea,27-061,1998,4.0,7,4,5,1,1,6,11,54.5,5,4,1,3,2,9,11,1,Matches
139,Roman Dixon,eng ENG,DF,Everton,20-136,2004,1.0,5,5,3,2,0,4,4,100.0,0,1,0,1,1,6,3,0,Matches
140,Nasser Djiga,bf BFA,"DF,FW",Wolves,22-177,2002,0.2,0,0,0,0,0,0,0,,0,0,0,0,2,2,3,1,Matches
141,Matt Doherty,ie IRL,DF,Wolves,33-115,1992,22.5,37,20,25,12,0,16,24,66.7,8,27,15,12,22,59,95,3,Matches
142,Jeremy Doku,be BEL,"FW,MF",Manchester City,22-349,2002,16.0,30,21,9,12,9,8,15,53.3,7,10,1,9,4,34,2,0,Matches
143,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,26-317,1998,19.3,76,40,35,30,11,30,66,45.5,36,34,11,23,27,103,48,1,Matches
144,Patrick Dorgu,dk DEN,DF,Manchester Utd,20-197,2004,7.0,23,17,12,9,2,12,17,70.6,5,9,0,9,4,27,19,2,Matches
145,Alfie Dorrington,eng ENG,DF,Tottenham,20-021,2005,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
146,Abdoulaye Doucouré,ml MLI,MF,Everton,32-130,1993,27.6,46,27,21,18,7,13,41,31.7,28,31,6,25,9,55,19,1,Matches
147,Cheick Doucouré,ml MLI,MF,Crystal Palace,25-123,2000,5.0,16,8,6,8,2,5,11,45.5,6,4,0,4,11,27,10,1,Matches
148,Flynn Downes,eng ENG,MF,Southampton,26-111,1999,21.9,46,24,21,20,5,15,35,42.9,20,24,6,18,31,77,46,4,Matches
149,Tommy Doyle,eng ENG,MF,Wolves,23-206,2001,5.4,11,6,6,3,2,6,15,40.0,9,11,5,6,5,16,11,1,Matches
150,Radu Drăgușin,ro ROU,DF,Tottenham,23-097,2002,13.9,10,6,8,2,0,6,12,50.0,6,22,16,6,15,25,49,4,Matches
