Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
129,Logan Costa,cv CPV,DF,Toulouse,24-040,2001,1.0,2,1,0,2,0,1,1,100.0,0,2,2,0,2,4,4,0,Matches
130,Grégoire Coudert,fr FRA,GK,Brest,26-038,1999,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
131,Lasso Coulibaly,gh GHA,"FW,MF",Auxerre,22-204,2002,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
132,Mamadou Coulibaly,fr FRA,MF,Monaco,21-020,2004,0.1,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches
133,Soumaïla Coulibaly,fr FRA,DF,Brest,21-209,2003,4.9,4,2,2,2,0,1,1,100.0,0,7,2,5,5,9,26,0,Matches
134,Tanguy Coulibaly,fr FRA,"FW,MF",Montpellier,24-082,2001,14.5,31,22,12,15,4,13,31,41.9,18,16,1,15,10,41,2,1,Matches
135,Marius Courcoul,fr FRA,"MF,DF",Angers,18-130,2007,2.4,3,1,2,1,0,1,3,33.3,2,2,0,2,4,7,8,0,Matches
136,Nicolas Cozza,fr FRA,"DF,MF",Nantes,26-123,1999,22.8,59,41,35,18,6,31,47,66.0,16,25,10,15,25,84,69,0,Matches
137,Charlie Cresswell,eng ENG,DF,Toulouse,22-267,2002,27.8,35,23,19,15,1,28,45,62.2,17,43,27,16,28,63,180,3,Matches
138,Kévin Danois,fr FRA,MF,Auxerre,20-317,2004,16.2,49,30,20,22,7,20,46,43.5,26,17,3,14,20,69,20,0,Matches
139,Kevin Danso,at AUT,DF,Lens,26-234,1998,12.0,19,7,12,5,2,12,16,75.0,4,25,19,6,20,39,62,1,Matches
140,Dante,br BRA,DF,Nice,41-205,1983,20.8,30,13,16,12,2,14,28,50.0,14,28,14,14,32,62,71,1,Matches
141,Pape Daouda Diongue,sn SEN,"MF,FW",Strasbourg,,,0.9,2,0,1,1,0,1,2,50.0,1,0,0,0,3,5,2,0,Matches
142,Mohamed Daramy,dk DEN,FW,Reims,23-124,2002,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
143,Jonathan David,ca CAN,FW,Lille,25-117,2000,27.6,23,7,3,12,8,9,21,42.9,12,13,2,11,6,29,9,1,Matches
144,Zuriko Davitashvili,ge GEO,"FW,MF",Saint-Étienne,24-085,2001,28.9,22,13,9,7,6,15,48,31.3,33,20,0,20,12,34,14,0,Matches
145,Théo De Percin,mq MTQ,GK,Auxerre,24-098,2001,2.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,0,Matches
146,Thibault De Smet,be BEL,DF,Reims,26-340,1998,2.1,6,4,5,1,0,4,4,100.0,0,5,3,2,4,10,12,0,Matches
147,Amar Dedić,ba BIH,DF,Marseille,22-266,2002,3.2,5,4,2,2,1,3,10,30.0,7,0,0,0,3,8,10,1,Matches
148,Romain Del Castillo,fr FRA,FW,Brest,29-043,1996,13.7,29,21,9,12,8,18,31,58.1,13,16,0,16,6,35,5,0,Matches
149,Thomas Delaine,fr FRA,DF,Strasbourg,33-048,1992,0.1,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,1,0,Matches
150,Andy Delort,dz ALG,FW,Montpellier,33-214,1991,5.7,4,3,1,2,1,1,2,50.0,1,3,1,2,0,4,3,0,Matches
