Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
406,Oliver Nielsen,dk DEN,DF,Lazio,21-341,2003,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
407,Eybi Nije,se SWE,"FW,MF",Torino,19-362,2005,4.4,1,9,5,55.6,2.06,1.14,0.11,0.20,18.9,0,0,0,1.5,1.5,0.17,-0.5,-0.5,Matches
408,Brooke Norton-Cuffy,eng ENG,"DF,MF",Genoa,21-119,2004,5.1,0,4,2,50.0,0.79,0.39,0.00,0.00,19.5,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
409,Tijjani Noslin,nl NED,"FW,MF",Lazio,25-308,1999,9.4,2,18,6,33.3,1.91,0.64,0.11,0.33,12.6,0,0,0,2.0,2.0,0.11,0.0,0.0,Matches
410,Adam Obert,sk SVK,DF,Cagliari,22-261,2002,11.8,1,9,2,22.2,0.76,0.17,0.11,0.50,12.0,0,0,0,0.9,0.9,0.11,+0.1,+0.1,Matches
411,Jens Odgaard,dk DEN,"MF,FW",Bologna,26-041,1999,21.7,6,49,22,44.9,2.26,1.01,0.12,0.27,19.5,1,0,0,3.6,3.6,0.07,+2.4,+2.4,Matches
412,Noah Okafor,ch SUI,"FW,MF",Napoli,24-352,2000,0.4,0,1,0,0.0,2.25,0.00,0.00,,24.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
413,Noah Okafor,ch SUI,FW,Milan,24-352,2000,4.6,1,13,7,53.8,2.83,1.52,0.08,0.14,14.8,0,0,0,1.5,1.5,0.12,-0.5,-0.5,Matches
414,Yllan Okou,fr FRA,DF,Hellas Verona,22-139,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
415,Maduka Okoye,ng NGA,GK,Udinese,25-256,1999,22.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
416,Mathías Olivera,uy URU,DF,Napoli,27-192,1997,23.3,0,15,2,13.3,0.64,0.09,0.00,0.00,17.0,0,0,0,1.1,1.1,0.07,-1.1,-1.1,Matches
417,Jean Onana,cm CMR,MF,Genoa,25-123,2000,2.1,0,1,0,0.0,0.47,0.00,0.00,,40.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
418,Jacob Ondrejka,se SWE,"MF,FW",Parma,22-251,2002,4.1,3,10,6,60.0,2.42,1.45,0.30,0.50,20.2,1,0,0,0.5,0.5,0.05,+2.5,+2.5,Matches
